Component,Function,Quantity,Unit Price (£),Total Price (£),Source
Raspberry Pi Zero 2 W,Microcontroller,1,14.15,14.15,https://shop.pimoroni.com/products/raspberry-pi-zero-2-w?variant=42101934587987
Pi Camera,Camera,1,7.00,7.00,https://www.amazon.co.uk/dp/B0BZVP3SQW
Pi Zero Accessories,Assorted Accessories,1,8.00,8.00,"https://shop.pimoroni.com/products/zero-adaptor-kit?variant=10462230279 https://shop.pimoroni.com/products/camera-cable-raspberry-pi-zero-edition?variant=32092803891283"
Tie Rod,Joint,10,0.699,6.99,https://www.amazon.co.uk/dp/B0DCNGSK9S
M3/M4 Assortment,Structural,1,6.64,6.64,https://www.amazon.co.uk/dp/B0DG2PHL25
DS3218MG Servos,Servos,3,9.997,29.99,https://www.amazon.co.uk/dp/B0CY2FVZZM
PCA9685,Servo Driver,1,4.99,4.99,https://www.amazon.co.uk/dp/B0BKZC1XWR
Power Supply,Power,1,16.99,16.99,https://tinyurl.com/2cr9nb7n
Shoulder Bolts,Pin Joints,1,4.99,4.99,https://www.amazon.co.uk/dp/B0FDQB24SP
PLA,Printing Material,1,13.99,13.99,https://www.amazon.co.uk/dp/B0CD79M1NV
20mm Acrylic Disc,Platform Disc,1,3.49,3.49,https://www.amazon.co.uk/dp/B0DJVB82TY
18AWG Wire,Wire,2,1.45,2.90,https://www.amazon.co.uk/dp/B0CZRGH4CT
